,name,ingredients,steps,url
254,十分鐘早餐─麻油煎麵線,"['麵線:1包', '麻油:1大匙', '薑:1小塊', '醬油膏:適量']","['1:煮一鍋水，水沸騰後將麵線拆散放入煮，記得不要一整束直接下，容易在煮的時候麵線巴在一起，最後煮出來的麵線糊糊的，當水再次沸騰時，下半碗的水，第三次沸騰就可以撈出來了。', '2:薑洗淨先切成片再切成末備用；加熱平底鍋，加入麻油，放入薑未爆香。', '3:將燙好的麵線放入鍋內，記得將麵線完全舖平，這樣煎出來的麵線會更好吃。', '4:當一面金黃色之後，再翻下一面煎，不要一直翻來翻去，麵線容易鬆散。', '5:煎好之後就離鍋，用刀具分切等分。', '6:淋上適量的醬油膏，因為醬油膏帶點甜份，可以中和麵線裡添加的鹽份。', '7:美味上桌！']",https://icook.tw//recipes/180160
256,蝦仁滑蛋燴飯 {露營OK},"['蝦仁:10~15隻', '薑(泥):一些', '蒜(泥):2~4瓣', '蔥(末):一枝', '雞蛋:一顆', '水:20g', '片栗粉或太白粉:3g']","['1:蝦仁洗淨，以鹽、酒略抓; 勾芡醬汁先調勻; 蔥薑蒜處理好', '2:熱油鍋，加入薑、蒜，蒜末，加入蝦仁炒至紅', '3:倒入勾芡醬汁組(如不芶芡，用一大匙水取代)，煮至滾。加鹽、白胡椒調味。', '4:將打散蛋液沿圓周型倒入鍋中，煮約一分鐘，至喜歡的熟度，熄火', '5:淋在在飯上就是一盤美味的滑蛋蝦仁燴飯了！開動。']",https://icook.tw//recipes/177795
257,簡易紅酒燉牛肉(一鍋到底),"['牛腱:1500公克', '洋蔥:1個', '麵粉:適量', '紅蘿蔔:1根', '杏鮑菇:3根', '小蕃茄:約30顆', '月桂葉:約4片', '新鮮迷迭香:3根', '紅酒:600cc', '海鹽:1大匙', '黃砂糖:1小匙', '粗粒黑胡椒:1小匙']","['1:牛腱洗淨後橫切塊；洋蔥洗淨去皮切半月形；紅蘿蔔洗淨去皮後切滾刀塊；杏鮑菇洗淨後切滾刀塊；小蕃茄洗淨去蒂切半。', '2:牛肉沾些許麵粉，用手拌勻讓每一面都均勻地沾到麵粉。', '3:鍋中加少許油，油熱後放入牛肉，兩面煎至焦黃，取出備用。', '4:再度熱鍋，用鍋中剩餘的油開始炒香洋蔥。', '5:再加入紅蘿蔔與杏鮑菇拌炒。', '6:加入煎好的牛肉。', '7:加入蕃茄與香料，倒入全部的紅酒，攪拌一下即可蓋上鍋子燉煮。', '8:待鍋邊冒煙後開蓋檢查一下，如果湯汁沒有蓋過全部材料，就再加適量的高湯或水，加入所有的調味料，再蓋上蓋子轉小火。為了防止黏鍋，接下來就是每隔一段時間開蓋攪拌一下，再蓋上蓋子燉煮，煮至牛肉軟爛，過程約1-1.5個小時。']",https://icook.tw//recipes/177296
258,巫婆手指三明治~野餐露營派對,"['火腿片:4片', '永新美式沙拉醬:適量', '起司片:4片', '萵苣絲:適量', '土司:1條']","['1:準備好所有的材料,', '2:兩片土司疊在一起, 切邊', '3:兩片土司疊在一起, 再切成3cm寬度左右的長條, 製作巫婆手指', '4:在切好的長條片另一頭, 切上尖角, 像手指尖一樣的形狀', '5:再拿出三明治火腿片, 切成長條, 再劃分成三角形', '6:在吐司尖角的的那一端擠上少許的美奶滋, 準備利用美奶滋來去黏三角形的火腿製作指甲', '7:放上火腿製作成指甲', '8:切好的吐司兩片攤開來擠上永新美式沙拉醬', '9:稍為抹勻, 以增加材料的黏性', '10:放上切好的起司絲跟切好的火腿片', '11:再起司片上擠上少許的美奶滋, 舖上細萵苣絲', '12:合起來, 輕輕的壓一下, 喜歡熱三明治的可以進烤箱稍微烤一下會上色喔!', '13:完成品, 你也可以放入自己歡的餡料喔!']",https://icook.tw//recipes/173354
259,蘑菇濃湯 {露營OK},"['蘑菇（切末）:8朵', '蒜末:4瓣', '高湯:200g', '鮮奶:100g', '鮮奶:100g', '中筋麵粉:20g']","['1:湯鍋中放少許油，炒香蒜末和蘑菇', '2:加入高湯煮滾後，轉中火續煮5分鐘', '3:加入鮮奶煮至滾', '4:加入麵糊組（先調勻），攪拌至濃稠後，加鹽、黑胡椒調味即完成', '5:濃郁的蘑菇湯搭配清炒義大利麵或麵包都很合拍喔！']",https://icook.tw//recipes/174190
260,快速馬鈴薯濃湯 （露營OK）,"['馬鈴薯（中型）:1顆', '洋蔥:1/4', '高湯:300g', '鮮奶:300g', '起司片（可省）:1片']","['1:將馬鈴薯去皮。刨絲或切小丁入湯鍋', '2:倒入高湯煮滾後，轉中小火煮約10分鐘', '3:用調理棒直接在鍋中將馬鈴薯打泥 (果汁機打亦可)，倒入牛奶小火再煮5分鐘（要注意湯起泡溢出）', '4:加鹽、黑胡椒、起司片切小片（可略），攪拌試味道後熄火', '5:盛碗後可撒一些義式香料粉，就完成原汁原味的香濃馬鈴薯濃湯了！']",https://icook.tw//recipes/173501
261,起司薯泥球（露營OK）,"['馬鈴薯(中型):2個', '起司粉:10~20g', '塩:2g', '黑胡椒:適量', '奶油:10g']","['1:馬鈴薯去皮、切小塊蒸熟，壓成泥', '2:加入起司粉、塩、黑胡椒混合均勻', '3:捏成約15個小丸子，平鍋中加入奶油，小火煎至微焦色即可！', '4:插上小旗子，立刻化身成襯職的小點心！＾＾', '5:萬聖節派對快樂！']",https://icook.tw//recipes/173498
262,蒜味香腸糙米飯(一鍋到底）,"['香腸:4條', '糙米:2杯', '香油:少許', '蒜頭:2瓣', '蔥:1根', '水:3.5杯', '醬油膏或蠔油或蔭油:1湯匙', '米酒:1/2湯匙', '熱水:2湯匙', '香油:少許']","['1:糙米洗淨後備用，香腸用叉子叉些小洞，蒜頭切片，蔥用飲用水洗淨後擦乾，切成蔥花備用。', '2:砂鍋裡放少許香油將蒜片炒香。', '3:放入香腸略煎上色後取出，關火。煎香腸的同時可陸續將蒜片夾起放在洗好的糙米上以免焦掉。', '4:先加3.5杯水在糙米裡，然後一起倒入砂鍋中，中火煮滾後轉小火蓋鍋蓋繼續煮15分鐘。', '5:將半熟的香腸斜切開備用。', '6:15分鐘後，可以看到本來淹過米的水已經看不到了，這時再將香腸鋪在米上續煮10分鐘。', '7:將調味料加在一起(約量米杯的1/4杯),延著鍋邊倒入砂鍋裡，續煮10分鐘，即可。', '8:灑上蔥花，完成！:食用時可以搭配荷包蛋和炒青菜！均衡一下!!糙米飯並不會鹹,主要還是吃原味;一口香腸,一口糙米飯鹹度剛剛好。']",https://icook.tw//recipes/173327
263,下酒良伴簡單做－啤酒豬五花,"['五花肉:2條', '洋蔥切絲:半顆', '老薑切片:1小塊', '蒜頭切片:4大辦', '月桂葉:1片', '八角:2顆', '紅棗:4小顆', '肉桂:半片', '冰糖:2大匙', '薄鹽醬油:3大匙', '鹽巴:少許', '胡椒:少許', '水:適量', '金牌台灣啤酒330ml:1罐']","['1:準備食材。', '2:將五花肉條用少許鹽巴、胡椒抓醃後，放至平底鍋煎至兩面金黃，無須倒油，煎的過程中就會逼出許多油脂來。將煎好的五花肉條盛起，放入一旁準備燉肉的鍋中，接著用原平底鍋裡的油拌炒洋蔥(半顆切絲)。待洋蔥炒至軟，加入薑片、切塊紅蘿蔔一起拌炒，最後加入切碎的蒜頭，稍微炒一下後倒入一旁五花肉的鍋中，覆蓋其上。', '3:仍是原平底鍋，倒入冰糖、一小碗水，煮至滾，待至稍微濃稠狀後，也倒入五花肉的鍋中。依舊是原平底鍋，倒入薄鹽醬油，稍微燒香一下，加入一小碗水，稍滾後一樣倒入五花肉的鍋中。接著將月桂葉、八角、紅棗、肉桂一起放入燉滷鍋中，倒入金牌台灣啤酒，小火燉至少1個小時。', '4:待已入味的差不多了，大火收汁後即可盛起盤中，稍微靜置放涼約30分鐘，就可切片了。']",https://icook.tw//recipes/170746
264,【日式副菜】梅醋漬彩椒 {露營ok},"['紅、黃椒（切條）:各一顆', '梅子醋:15-30g', '橄欖油或香油:15g', '梅子（果肉切碎）:3顆']","['1:將彩椒微波500W加熱2~3分鐘，或汆燙去除生味', '2:等彩椒涼後和其他材料一起放在樂扣中蓋緊，搖一搖。放入冰箱至少一個小時，過夜更入味', '3:就是清爽好吃的彩椒小菜了！']",https://icook.tw//recipes/169731
265,豆腐燴飯 {露營ok},"['豆腐:200g', '綠色葉菜（我用油菜）:50g', '小番茄:2顆', '高湯:200g', '醬油:10~20g', '片栗粉或:3-5g']","['1:(1) 將豆腐切成喜歡的正方型大小 (2) 小番茄切小塊 (3) 綠葉蔬菜切細 (4) 醬汁組調勻', '2:鍋中加香油，放入青菜略炒', '3:加入醬汁組煮至濃稠', '4:放入豆腐和小番茄', '5:蓋鍋煮五分鐘', '6:就完成豆腐燴汁了', '7:淋在白飯上就是香噴噴、很下飯的豆腐燴飯了～開動！']",https://icook.tw//recipes/169728
266,青椒佃煮 {露營OK},"['青椒:一顆', '柴魚:一些', '香油:一些', '高湯:30g', '糖:5g', '酒:3g', '醬油:3g', '烏醋:1~2滴（1g）']","['1:將青椒切片、[佃主醬汁]先調勻。', '2:小鍋中加入香油，放入青椒略炒一下', '3:加入[佃主醬汁]大火煮滾，轉中小火煮五分鐘 即可。', '4:將青椒夾起盛盤，撒一點柴魚片', '5:剩下的醬汁加入高湯，滾後放入野菇，約3分鐘即可熄火加鹽與胡椒調味。', '6:一次完成兩樣清爽可口的日式套餐配菜，太方便了！いただきます！']",https://icook.tw//recipes/168965
267,和風味增肉醬 {露營ok},"['絞肉:300g', '蔥（切末）:一隻', '薑（磨泥或切末）:10g', '豆瓣醬:10g', '香油:10g', '味增:60g', '酒:60g', '糖:15g', '醬油:10g']","['1:先將醬汁組 調勻', '2:熱油鍋，加入絞肉、薑、豆瓣醬炒至肉變白', '3:加入醬汁、水60g、及蔥略拌後，蓋鍋煮5分鐘（注意醬汁不要收乾）', '4:加入香油拌炒一下，最後可加一點片栗粉水或太白粉水勾芡（亦可省）即可熄火', '5:淋在麵條或白飯上，配上湯品，就是15分鐘即可享受的美味套餐呦！']",https://icook.tw//recipes/168834
268,露營♥料理-泰式海鮮涼拌【健康廚房】,"['蕎麥芽:少許', '甜蝦:數尾', '鯛魚片:1條', '蟹肉棒:數條', '西洋梨:一顆', '檸檬:半顆', '甜橙:一顆', '健康廚房泰式甜辣醬:30CC', '檸檬汁:半顆', '南投溫室百香果:3顆']","['1:把鮮蝦洗淨擦乾煎熟', '2:鯛魚片洗淨擦乾裹上麵粉（麵粉加上一點鹽和黑胡椒）', '3:海鮮煎熟放涼時來準備水果', '4:把醬料調製好', '5:其實不加檸檬汁和百香果，健康廚房的泰式甜辣醬就蠻好吃了，不過因為來到南投露營，想用在地食材入菜，就加了百香果和檸檬汁，添加一些水果的香味。', '6:蟹肉棒用手撕和酪梨一起入鍋', '7:再加入鳳梨和調味醬料拌勻先裝盤', '8:然後把鯛魚片和鮮蝦擺盤就可以囉', '9:愛上露營是因為起床不趕行程，所以可以緩慢的做早餐，差不多抓一小時，做完小孩也起床玩等著吃了...^^']",https://icook.tw//recipes/168677
269,深夜食堂－10分鐘酒蒸蛤蠣,"['蛤蠣:10-15顆', '蔥花:一小碗', '蒜末:2-3瓣', '辣椒:適量', '米酒:2大匙', '檸檬:1/4顆', '無鹽奶油:1小匙']","['1:蛤蠣洗淨吐沙完成', '2:青蔥切成蔥花，辣椒切末，蒜頭切末', '3:將洗淨的蛤蠣放入平底鍋中（這裡使用的是大同無水料理鍋）', '4:開小火慢慢煮，放入蔥末蒜末和辣椒，倒入兩大匙米酒，關上鍋蓋', '5:約3-4分鐘後開蓋，加入一匙奶油，適調味可加一匙日式淡醬油，再繼續煮至至蛤蠣全部打開即可（約２－３分鐘）', '6:香噴噴的酒蒸蛤蠣就完成啦！', '7:由米酒帶出蛤蠣海鮮的香氣，加上奶油和蒜末等提味，超級鮮美好吃！']",https://icook.tw//recipes/166152
270,番茄羅勒 Checca 醬 {露營OK},"['小番茄:10~15顆', '蒜頭（切丁）:4～5瓣', '初榨橄欖油（Extra）:30g', '純橄欖油（Pure）:30g', '羅勒（切碎）:10~15枚', '鹽:1g', '黑胡椒:一咪咪']","['1:小番茄劃十字', '2:放入滾水中燙一下', '3:撈起後去皮，切小塊', '4:將番茄塊和蒜頭放入調理盆中', '5:加鹽和黑胡椒調味，攪拌均勻', '6:加入羅勒和橄欖油，稍微攪拌一下', '7:左右轉圈圈搖晃調理盆，讓油水融合', '8:像這樣的程度', '9:可以馬上使用，也可放入保存盒冰入冰箱至少30分鐘（會更入味）', '10:冰涼的Checca鋪在歐式麵包上真的很好吃！', '11:是簡單、輕鬆的涼夏早餐提案！']",https://icook.tw//recipes/166127
271,韓式烤肉壽司 Kimbap,"['霜降火鍋牛肉片:200g', '低鹽醬油:3大匙', '米酒:2大匙', '韓國麻油:1大匙', '蜂蜜:1.5大匙', '水梨:1/2個', '蒜頭:3瓣', '雞蛋:2個', '鹽:1/2小匙', '太白粉:1小匙', '水:一大匙', '胡蘿蔔:1/2 根', '韓式麻油:1 小匙', '砂糖:1小匙', '低鹽醬油:1大匙', '白芝麻:適量', '小黃瓜:1條', '煮熟米飯:1.5碗', '鹽:1小匙', '韓國麻油:1大匙', '壽司用海苔:3張']","['1:將材料A的醃料使用果汁機打成液體狀醃醬如圖，將肉片切成約5cm長，將肉片均勻沾附醃醬放置冰箱一晚。', '2:將醃漬一晚的肉炒熟，直至肉汁收乾放涼備用。', '3:將紅蘿蔔切長細絲，並依照調味炒軟放涼備用；蛋混和調味料煎熟切長細絲放涼備用；小黃瓜切長細絲備用。', '4:海苔上鋪上薄薄一層米飯，約尾端留下5cm不要鋪上米飯。', '5:鋪上備好的蔬菜與肉，我還摘了陽台上的紫蘇葉放在肉下方，以免肉汁會浸濕米飯。邊捲邊壓緊，壽司卷要捏緊才能防止食材在切段時跑出來。\r:捲好的壽司放5分鐘後，刀子沾水切段即可食用']",https://icook.tw//recipes/166213
272,蕃茄蔬菜湯 {露營OK},"['洋蔥丁:1/4個', '紅蘿蔔(切丁):1/3條', '牛番茄:1/3個', '玉米粒(罐頭):1/2罐', '毛豆:一小把', '高湯:約400ml']","['1:湯鍋中加點油炒香洋蔥、紅蘿蔔、牛番茄', '2:加入高湯蓋過食材再多一點 (量請自行增減)', '3:蓋鍋悶煮約5~10分鐘，加入毛豆和玉米粒，煮至毛豆軟即可', '4:加鹽與胡椒調味，盛起後也可切一塊莫札瑞拉起司放入(可省略)', '5:就是一碗快速、營養、鮮甜的清爽好湯了~']",https://icook.tw//recipes/269543
273,香蕉鬆餅,"['香蕉:100g', '雞蛋:2顆', '牛奶:30g', '低筋麵粉:30g', '鹽:手抓一小撮']","['1:所有材料備妥！少份量的香蕉片為擺盤用～', '2:香蕉先放入攪拌杯中', '3:加入牛奶:攪拌成泥', '4:加入雞蛋然後攪拌', '5:加入低筋麵粉及鹽 攪拌均勻', '6:全部攪拌均勻即可', '7:不沾平底鍋不需加油:倒入後起泡泡再翻面', '8:翻面！', '9:完成✅擺盤:可以留幾片🍌香蕉排盤配著吃～', '10:也可以做小一點！很適合給小小孩吃～']",https://icook.tw//recipes/294521
274,零失敗咖哩雞肉,"['咖哩塊:半盒', '雞肉:1/4-1/2隻雞', '馬鈴薯:兩顆(小)', '紅蘿蔔:1條', '洋蔥:半顆', '水(川燙用):一鍋', '水(煮咖喱用):淹過食材即可']","['1:雞肉切塊(或買切好的)、紅蘿蔔切塊(可以比圖中再小塊一點)、馬鈴薯切塊(不要太小塊，煮好會整個化掉)、洋蔥切條。', '2:將一鍋水煮滾後川燙雞肉至沒有血水即可。', '3:炒鍋熱油後加入洋蔥拌炒一下，再加入紅蘿蔔及馬鈴薯拌炒至有香味即可。', '4:加入水，淹過食材一些即可，煮至滾後加雞肉，加蓋子悶煮15-20分使紅蘿蔔接近想要的軟綿程度。', '5:加入咖哩塊持續攪拌(會越來越濃稠)，至紅蘿蔔軟即可。']",https://icook.tw//recipes/163535
275,日式拿坡里義大利麵 {露營OK},"['義大利麵（煮軟）:2人份', '蒜(片):3個', '洋蔥（切絲）:1/2個', '小熱狗（切塊）:4條', '青椒（切條）:1個', '小番茄 (對切):8個', '番茄醬:2~3大匙', '番茄泥:2~3大匙', '雞蛋（可略）:2個']","['1:湯鍋中加點鹽，煮軟義大利麵（約10~15分）', '2:平底鍋加油，放入洋蔥、蒜、小熱狗（可先水煮過），開中小火略炒至洋蔥軟', '3:倒入水(150ml)、番茄醬、茄泥，蓋鍋煮5分鐘，', '4:將青椒、小番茄、麵倒入鍋中，加鹽、黑胡椒調鹹淡，翻炒均勻(可依喜歡口味酌量增減茄醬)', '5:加蛋版：將麵盛在小鐵鍋中開火，周圍淋入打散的蛋。等蛋略熟就完成了', '6:不加蛋版：盛入盤中，即可', '7:熱熱的，和蛋一起這樣吃，營養又美味～', '8:請享用很簡單就可以上手的日本家庭料理～']",https://icook.tw//recipes/155552
276,焦糖香蕉  {露營OK},"['香蕉:2條', '植物油:一些', '奶油（可省）:3~5g', '砂糖:一些']","['1:油加入平鍋中小火加熱，將香蕉切塊或對半條放在鍋中，空灑砂糖', '2:煎至焦糖色出現即可翻面再煎一下。完成！', '3:可以壓平，塗抹在麵包上', '4:也可以直接和吐司一起吃，都是最新鮮的自製果醬呦！']",https://icook.tw//recipes/154566
277,啤酒蝦,"['鮮蝦:300g', '啤酒:250ml', '大蒜:3瓣', '青蔥:2支', '薑片:5片', '辣椒:少許', '鹽:少許']","['1:首先起油鍋，將大蒜、蔥白、薑片下鍋爆香。', '2:接著將蝦子去除泥腸、洗淨後，下鍋拌炒。', '3:加入啤酒開大火煮滾，並將蝦子煮熟。', '4:起鍋前再加入青蔥、辣椒與少許的鹽調味就完成了喔。', '5:蝦子的鮮甜完全被啤酒突顯出來，所以只要簡單的調味就已經足夠，愛吃蝦子的妳可千萬不要錯過了。']",https://icook.tw//recipes/292881
278,燒烤蔬菜佐巴塞米醋沙拉,"['紅椒:半顆', '櫛瓜:1條', '洋蔥:半顆', '黃椒:半顆', '燈泡茄:半顆', '橄欖油:少許', '鹽和黑胡椒:少許', '巴塞米醋:1/2大匙', '檸檬:1/2大匙', '初榨橄欖油:1大匙', '大蒜:1瓣', '奧勒岡:少許']","['1:大蒜和奧勒岡切碎,檸檬切半擠汁備用', '2:紅椒、黃椒、櫛瓜、燈泡茄、洋蔥全切薄片;燈泡茄撒上1小匙鹽靜置約15分鐘,茄子會出水再用手把茄子稍微擠乾', '3:紅椒、黃椒、櫛瓜、洋蔥、燈泡茄撒上橄欖油和少許鹽混合,再放上預熱好的鐵盤上煎烤,煎烤至蔬菜微微上焦色即可,若喜歡蔬菜再軟一點也可以再烤久一點', '4:將巴塞米醋、檸檬、初榨橄欖油、大蒜和奧勒岡葉放入罐子中備用', '5:將烤好的蔬菜放上盤子盡量將蔬菜堆高,要吃時再將罐子裡的醬汁搖勻撒在蔬菜上,燒烤蔬菜佐巴塞米醋沙拉就完成了']",https://icook.tw//recipes/158921
279,【一鍋】茄汁蝦仁義大利麵 {露營OK},"['蝦仁:一些', '洋蔥 (切絲):1/2顆', '蒜頭 (切丁):5瓣', '小蕃茄或牛番茄:8小顆或一大顆', '義大利麵:2人份', '蕃茄泥:2大匙', '高湯或水:一些']","['1:湯鍋放入少許橄欖油，放入蝦仁炒紅，盛起在盤上', '2:原鍋餘油，放入洋蔥、蒜頭、蕃茄炒軟', '3:將義大利麵折半放入鍋中', '4:倒入高湯或水蓋過食材再多一些些。煮滾後轉中小火，蓋鍋煮5~8分鐘', '5:開鍋視情況加水(不要燒乾了!)，同時加入茄泥攪拌，蓋鍋再煮3~5分鐘', '6:開鍋放入蝦仁，加鹽、黑胡椒、喜歡的乾燥香料:洋香菜、迷迭香等(亦可省)，攪拌至水收乾即完成', '7:盛盤，放上其他顏色蔬菜', '8:就是一份色香味俱全的異國風料理了!']",https://icook.tw//recipes/152384
280,和風味噌小肉丸 {露營OK},"['片栗粉或太白粉:少許', '絞肉:250g', '洋蔥(切丁):1/6顆', '鹽:1g', '蛋(小顆):1顆', '味噌:一小匙(5g)', '高湯+水:共350g', '米霖:一大匙(15g)', '醬油:兩大匙(30g)', '砂糖:一小匙(5g)']","['1:調理盆中加入所有的丸子組材料，抓到有粘性，然後捏成數個小丸子', '2:小湯鍋中放入湯汁組煮至滾，將小丸子放入(水量調整到與丸子齊高)，煮滾後蓋鍋，轉中小火煮五分鐘', '3:將片栗粉或太白粉調一點冷水至勻，倒入煮汁中煮至濃稠即熄火', '4:搭配米飯超秒殺的!', '5:いただきます!']",https://icook.tw//recipes/157943
281,青醬燉飯 {露營OK},"['洋蔥(切丁):1/4顆', '米:1杯', '高湯或水:600ml', '起司粉:一些', '青醬:2~3匙', '白酒(可省):40ml', '義式香料(可省):一些']","['1:鍋中加些橄欖油炒洋蔥丁，炒至軟後加入洗好的米同炒', '2:炒到米呈有些半透明，先倒入高湯200ml (和酒)煮滾後蓋鍋，以中小火悶煮約5分鐘', '3:再倒入200ml攪拌一下，蓋鍋煮約5分鐘', '4:最後倒入200ml 及一、兩匙青醬攪拌一下，蓋鍋煮約5~10分鐘至水收稍乾，加鹽和黑胡椒調味即可!', '5:盛盤灑上起司粉，就是一盤吸飽飽青醬濃濃滋味的美味燉飯了!', '6:搭配一碗蔬菜湯，是蔬食者的天堂美味喔!']",https://icook.tw//recipes/156721
282,《無糖》涼拌麻油香辣雞胗~下酒菜,"['雞胗:300g', '蔥白:1支', '米酒:1大匙', '薑片:5片', '蒜泥:2瓣', '蔥末:1根', '香菜/芹菜:1大把', '辣椒:1根', '黑麻油:1大匙', '芝麻(可省略):1大匙', '醬油:1大匙']","['1:滾水煮開, 放入薑片, 斜切蒜白, 倒入1大匙米酒, 雞胗放入鍋中, 沸水煮10分鐘', '2:10分鐘後, 取出雞胗放入冰水或冰塊中冰鎮(可以讓雞胗變脆)', '3:將雞胗切薄片', '4:放入醃漬的容器中', '5:鋪上滿滿的香菜, 蔥, 辣椒', '6:倒入混和好的醬油, 蒜泥(蒜泥比較有風味), 黑麻油', '7:鋪上滿滿的芝麻, 蓋上蓋子, 攪拌一下雞胗根醃料, 搖一搖使其入味, 醃一晚隔夜更好吃喔!', '8:完成^^!']",https://icook.tw//recipes/157460
283,絲瓜蛤蜊,"['蛤蜊:半斤', '絲瓜:兩條', '薑片:適量', '水:100cc']","['1:先爆香薑片', '2:放入絲瓜', '3:再放入蛤蜊:加入少許水、鹽巴:蓋上蓋子', '4:三分鐘後～surprise!']",https://icook.tw//recipes/291040
284,韭菜煎肉餅 {露營OK},"['1.豬絞肉:250g', '2.薑(切末):一片', '3.蒜(切末):2瓣', '4.片栗粉:5g', '韭菜:2~3隻']","['1:將韭菜綠葉切成一公分小段 (前方白色部分不要太多)', '2:將食材1~4放入調理盆，加1g 鹽，用手抓至肉呈黏性。', '3:加入韭菜揉至均勻。將肉分6份，滾成丸型', '4:鍋中加少許油，中小火熱鍋後，放入丸子，用煎匙將肉丸壓平成肉餅，煎至咖啡色後翻面續煎', '5:兩面煎熟後，鍋邊嗆入1大匙醬油，蓋鍋熄火，用餘溫收乾醬汁即完成!', '6:稍微用紙巾吸油，盛在盤中', '7:不論佐飯或帶便當都非常下飯喔!', '8:好好吃~~']",https://icook.tw//recipes/157113
285,超簡易酸辣湯 {露營OK},"['香油:少許', '肉絲:一些', '香菇 (泡軟切絲):10朵', '紅蘿蔔 (切絲):一些', '片栗粉或太白粉:適量', '雞蛋 (打散):1顆', '青蔥:一些', '醬油:2小匙', '黑醋:1小匙', '白醋(蘋果醋等亦可):2小匙', '鹽:適量', '黑胡椒:適量', '白胡椒:適量']","['1:湯鍋中放香油，加入肉絲、紅蘿蔔絲、香菇絲，加點鹽炒至肉變白', '2:倒入高湯或水，蓋鍋煮5~10分鐘', '3:加入調味組，調好味道後，將片栗粉+少許水調勻，倒入鍋中薄薄芶芡，一邊攪拌煮至滾', '4:將蛋沿著鍋邊呈圓形倒入，一下下就可以熄火，用餘溫煮熟', '5:盛入碗中，再倒點黑醋、灑些白胡椒，灑上青蔥', '6:就是一碗超開胃的湯品了!', '7:搭配蒸餃或小包子吃超合拍的!']",https://icook.tw//recipes/156352
286,微辣麻婆豆腐 {露營OK},"['香油:一些', '蒜末:5瓣', '薑末:一些', '絞肉:300g', '豆腐（切塊或丁）:一塊', '片栗粉或太白粉:一些', '蔥花:一枝', '豆瓣醬:1~2匙', '花椒（可略）:3粒', '豆鼓（可略）:5粒', '醬油:少許', '（素）蠔油:一匙', '糖:一些']","['1:鍋中加入油及一些香油，下蒜末、薑末、絞肉，炒至肉變白', '2:加入調味醬汁、高湯或水蓋過食材煮至滾', '3:加入豆腐丁，煮至滾，攪拌一下，以片栗粉勾芡', '4:起鍋前灑蔥即完成！', '5:搭配白飯或飯糰最可口了！']",https://icook.tw//recipes/155553
287,清爽版奶香燉菜 {露營OK},"['雞肉 (或小熱狗):150g(或2條)', '馬鈴薯(可略):一顆', '紅蘿蔔(可略):一些', '洋蔥:1/3顆', '青花菜:1/2朵', '鮮奶:200g', '中或低筋麵粉:1.5大匙']","['1:準備工作: 湯鍋煮滾一點水，燙熟小熱狗(煮約5分鐘)，夾起切段; 雞肉切一口大小; 洋蔥切丁; 其他蔬菜切塊', '2:湯鍋中放入300cc高湯或水，放入雞肉、洋蔥、馬鈴薯、紅蘿蔔、青花菜煮滾後轉中火，蓋鍋煮10分鐘至食材軟', '3:麵粉與鮮奶調勻，倒入湯中攪拌至濃稠', '4:加鹽、黑胡椒等調味，即完成!', '5:就完成好喝、香濃的奶油燉菜了! 自己做安心又好吃呢~', '6:拌飯或拌通心麵、或當作配湯都很完美喔!']",https://icook.tw//recipes/156230
288,野餐露營的快速御飯糰 超夯簡易手作御飯糰,"['白飯:120公克', '方形海苔片:ㄧ張', '白蝦:4隻', '或鰻魚:3片', '或豬肉片:3片', '生菜葉:數片', '松子青醬:2大匙']","['1:海苔片放成菱形,正中央放入ㄧ半的白飯（約60公克）.手可以沾些飲用水抓捏飯避免沾黏.', '2:松子青醬鮮蝦口味御飯團::將熟白蝦 ,搭配松子羅勒醬,只要拌ㄧ拌免開火,就是松子青醬鮮蝦. 松子青醬可以參考之前視頻的分享.:鰻魚的部分因為蒲燒鰻魚可以直接食用,只要切成適當大小的片狀就可以.:燒肉風味的御飯糰：:豬肉的部分我使用梅花豬火鍋肉片來製成燒肉,燒肉可參考燒肉飯視頻的分享.', '3:上方放上生菜、不同口味的配料,再疊上剩下的白飯.', '4:將海苔片的4個尖角上、下、左、右往中心收合,包住食材.', '5:將封口朝下平放,靜置回潮ㄧ下,等海苔完全貼合在飯上,即可對切擺盤入餐盒.也可用米飯或飲用水沾黏封口.']",https://icook.tw//recipes/156051
289,日式酒蒸蛤蜊 {露營OK},"['蛤蜊 (吐沙):15~20', '蒜末:5瓣', '紅辣椒丁:2~3丁', '酒:少許', '青蔥:一些', '奶油:一小塊']","['1:鍋中加少許油加熱，放入蒜末和辣椒炒至有香味', '2:放入蛤蜊，加一點酒和水，蓋上鍋蓋約3~5分鐘或至蛤蜊開口', '3:放入奶油、淋一點醬油(酌量) 攪拌一下，灑下青蔥，熄火', '4:盛盤美味上桌', '5:香噴噴的あさりの酒蒸し，完成! 請享用!']",https://icook.tw//recipes/155959
